FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106554011,ADVENTIST HEALTH SONORA - GREENLEY,20191,01/01/2019,03/31/2019,Open,Tuolumne,06 - North San Joaquin,0513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,111,581,30,44,174,0,0,45,177,0,13,1064,11,2205,154,5866,827,0,0,223,521,0,61,9857,5971,49782,1626,4332,16911,0,0,6888,25360,4,2619,107522,47049459,2545903,5728308,13902773,0,0,3047909,11925086,0,631816,84831254,96152678,4032454,4036547,26139477,0,0,9908200,41134334,20868,2614157,184038715,2968296,111772226,5684234,4078554,33279468,0,0,0,6722437,35611622,0,803215,0,0,0,4303487,205223539,0,0,0,0,0,24899776,1116996,6798203,6559672,0,0,3206588,20278987,3017,783191,63646430,470336,61577070,0,932950,0,0,0,0,438350,99505142,0,0,0,0,0,0,0,0,0,0,0,0,0
106281078,ADVENTIST HEALTH ST. HELENA,20191,01/01/2019,03/31/2019,Open,Napa,03 - North Bay,0407,Non Profit Corp.,Comparable,,707-963-3611,10 WOODLAND ROAD.,ST. HELENA,94574,STEVEN HERBER,151,151,77,600,44,123,180,0,0,52,147,0,7,1153,0,3345,377,1193,848,0,0,261,539,0,12,6575,0,7470,156,202,1517,0,0,1228,3860,0,201,14634,92146807,6254945,10787838,21979588,0,0,7628224,22401027,0,967848,162166277,55685110,1900214,959673,11534357,0,0,3315542,24228442,0,1748958,99372296,761175,124672928,6341724,8021771,28083975,-18332,0,0,6532164,31427070,0,2308915,0,0,0,3712726,211844116,0,7254250,0,0,7254250,22076750,1658848,3631007,12500300,0,0,4338476,12612191,0,131135,56948707,1745168,60552525,0,0,0,0,0,0,1094816,87148489,0,0,0,0,0,0,0,0,0,0,0,0,0
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,20191,01/01/2019,03/31/2019,Open,Kern,09 - Central,0623,District,Comparable,,661-823-3000,1100 MAGELLAN DRIVE,TEHACHAPI,93561,JEFFERY LINGERFELT,20,20,15,70,14,14,51,0,0,11,29,0,3,192,0,217,73,397,155,0,0,62,76,0,11,991,0,1426,372,785,5052,0,0,410,1467,0,155,9667,2408532,561534,2216661,2000192,0,0,517123,1175632,0,205403,9085077,3381344,2189952,1396207,7429951,0,0,1193356,4722254,0,399273,20712337,557047,3192179,2134141,2982839,6362649,0,0,0,1007553,3849346,0,724566,0,0,0,1102602,21912922,0,0,0,0,0,2597697,617345,630029,1033679,0,0,702926,2048540,0,254276,7884492,21970,9345018,0,5996,0,0,0,0,3553049,40825551,0,0,0,0,0,0,0,0,0,0,0,0,0
106231396,ADVENTIST HEALTH UKIAH VALLEY,20191,01/01/2019,03/31/2019,Open,Mendocino,01 - Northern California,0113,Church,Comparable,Rural,707-462-3111,275 HOSPITAL DRIVE,UKIAH,95482,GWEN MATTHEWS,67,50,41,349,26,68,311,0,0,36,118,0,9,917,0,1376,138,205,991,0,0,104,466,0,21,3301,0,24206,1332,1301,19562,0,0,10076,8187,0,1458,66122,19121697,1727771,2456856,12558563,0,0,1088123,5970579,0,451677,43375266,38130986,2091366,2404612,28812540,0,0,3790427,19848498,0,2449140,97527569,1838218,42965038,3099924,2435682,33578142,-266586,0,0,3157072,11744528,0,1903942,0,0,0,3128837,103584797,0,11744431,0,0,11744431,13195275,644493,2178295,18701513,0,0,1651549,12471156,0,220188,49062469,897427,47834755,0,35139,0,0,0,0,502410,78535607,0,0,0,0,0,0,0,0,0,0,0,0,0
106481015,ADVENTIST HEALTH VALLEJO,20191,01/01/2019,03/31/2019,Open,Solano,03 - North Bay,0409,Non Profit Corp.,Comparable,,707-963-3611,525 OREGON STREET,VALLEJO,94590,"STEVE HERBER, MD",61,61,58,118,48,89,0,0,0,14,317,0,0,586,0,1431,385,913,0,0,0,112,2028,0,0,4869,0,398,7,0,0,0,0,184,549,0,0,1138,5832417,1714098,3339973,0,0,0,326757,7607363,0,0,18820608,999570,381464,0,0,0,0,480641,1524495,0,0,3386170,225739,5181373,1327786,2104577,0,0,0,0,481056,6038319,0,219341,0,0,0,0,15578191,0,0,0,0,0,1586667,763884,1159628,0,0,0,291416,2826992,0,0,6628587,39494,6677798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106190878,ADVENTIST HEALTH WHITE MEMORIAL,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0925,Non Profit Corp.,Comparable,Teaching,323-268-5000,1720 CESAR E. CHAVEZ AVENUE,LOS ANGELES,90033,JOHN RAFFOUL,353,353,260,837,643,1140,1623,0,0,45,592,0,112,4992,0,5360,2858,5222,7130,0,0,336,1825,0,352,23083,0,6657,4730,5178,13612,0,0,2124,6944,0,1141,40386,110619076,74433204,86863494,156856723,0,0,881569,40890367,0,6319931,476864364,23495050,28203873,18091601,81360921,0,0,2158205,30566334,0,8203299,192079283,8735319,111564090,74286912,76054197,236375501,-8117840,0,0,1022014,45360138,0,969388,0,0,0,20304819,566554538,61141,9004169,0,0,9065310,16752916,26565507,36449118,7891882,0,0,1950204,20160524,0,1684268,111454419,3888187,114937743,0,3024439,0,0,0,0,1119139,147495136,0,0,0,0,0,0,0,0,0,0,0,0,0
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,20191,01/01/2019,03/31/2019,Open,Orange,13 - Orange,1012,Non Profit Other,Comparable,,714-999-5102,1111 WEST LA PALMA AVENUE,ANAHEIM,92801,RICHARD CASTRO,223,223,223,577,502,287,747,0,0,25,406,0,62,2606,0,3145,2137,1232,3044,0,0,105,1644,0,271,11578,0,1824,1808,1971,4804,0,0,482,2512,0,639,14040,65442946,56819225,27879230,63114270,0,0,2144931,37931655,0,3109470,256441727,16189209,28215547,7333692,35602567,0,0,3632130,20617778,0,2259191,113850114,2951325,72662409,75732972,29754884,92169451,-810000,0,0,4732483,45673124,0,0,0,0,0,73485,322940133,0,0,0,0,0,8969746,9301800,6268038,6547386,0,0,1044578,12876309,0,2343851,47351708,457271,52258729,0,0,0,0,0,0,272832,5665382,0,0,0,0,0,0,0,0,0,0,0,0,0
106010735,ALAMEDA HOSPITAL,20191,01/01/2019,03/31/2019,Open,Alameda,05 - East Bay,0417,Non Profit Corp.,Comparable,,510-437-4800,2070 CLINTON AVENUE,ALAMEDA,94501,DELVECCHIO FINLEY,251,217,217,380,66,77,143,0,9,12,93,0,17,797,0,2281,491,14513,837,0,30,47,1052,0,63,19314,0,3869,566,276,2920,0,190,384,2303,2,2319,12829,26059830,4110053,27687032,9036595,0,588321,588326,4314473,0,708633,73093263,11854049,1579628,996996,9625362,0,2073072,869617,5348857,59158,1267999,33674738,1483462,31394241,4521755,25081732,16734434,0,0,2661393,1219775,6823936,0,512654,0,0,0,0,90433382,0,0,0,0,0,6519638,1167926,3602296,1927523,0,0,238168,2839394,0,39674,16334619,23562,22386826,0,2123326,0,0,0,0,0,8961250,0,0,0,0,0,0,0,0,0,0,0,0,0
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0913,Investor - Ptnr.,Comparable,,626-570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,IRIS LAI,144,144,144,369,297,35,448,0,0,6,95,0,6,1256,2,2527,1407,634,3730,0,0,19,317,0,40,8674,2339,933,764,435,2654,0,0,65,746,4,1643,7244,34203590,23539757,6321533,41396674,0,0,350148,5138725,0,502540,111452967,6939012,6133157,2001425,12629378,0,0,430842,5732535,85864,1887840,35840053,1389705,34390071,27859183,6351834,50967975,0,0,0,609630,8321938,0,85864,0,0,0,435487,130411687,26304070,3500315,0,0,29804385,6752531,28117801,1971124,6558391,0,0,171359,2549322,0,565190,46685718,272082,46403554,0,227920,0,0,0,0,144057,10029410,0,0,0,0,0,0,0,0,0,0,0,0,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,20191,01/01/2019,03/31/2019,Open,Alameda,05 - East Bay,0415,Non Profit Corp.,Comparable,,510-204-4444,2450 ASHBY AVENUE,BERKELEY,94705,GERALD KOZAI,401,401,248,839,237,719,1268,0,0,181,1568,31,44,4887,0,4261,1254,2347,3455,0,0,1908,5145,123,210,18703,0,7448,2065,722,3922,2,0,623,7219,700,73,22774,64099985,18690938,30645848,58966475,0,0,27021273,68421555,1621828,2755307,272223209,66220701,16974273,5048176,32441651,2309,0,5021192,63047631,4502322,437409,193695664,2027025,102446677,28285495,15385182,72162008,0,0,0,22716991,56621454,0,6124145,0,0,0,2141111,307910088,1016531,0,0,7023621,8040152,26965328,8355311,20307227,19246118,2309,0,9181000,81245215,0,746429,166048937,1151118,186989032,0,4752271,0,0,0,0,3565127,92786933,0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,20191,01/01/2019,03/31/2019,Open,Alameda,05 - East Bay,0417,Non Profit Corp.,Comparable,,510-655-4000,350 HAWTHORNE AVENUE,OAKLAND,94609,GERALD KOZAI,354,354,246,1611,392,171,665,0,0,64,434,30,26,3393,0,9428,2131,1224,3354,0,0,334,2308,143,54,18976,0,2983,511,404,4031,0,0,309,2220,565,132,11155,155829475,39518025,17684076,55186668,0,0,5436247,41924305,2298525,1178977,319056298,42446125,11021046,4582675,29068766,0,0,2807771,34776476,3352970,748225,128804054,1544297,153274459,40845397,9157822,69188492,0,0,0,4638278,31551628,0,5651495,0,0,0,1224801,317076669,0,0,0,0,0,44628654,9521275,13103481,15065370,0,0,3245818,44830769,0,388316,130783683,23301742,140493584,0,11868928,0,0,0,0,3255510,516777705,0,0,0,0,0,0,0,0,0,0,0,0,0
106370749,ALVARADO PARKWAY INSTITUTE BHS,20191,01/01/2019,03/31/2019,Open,San Diego,14 - San Diego/Imperial,1422,Investor - Corp.,Comparable,,619-465-4411,7050 PARKWAY DRIVE,LA MESA,91942,MEGAN MONTGOMERY-WEST,66,66,66,132,24,87,0,0,0,0,359,0,4,606,0,1942,371,895,0,0,0,0,2288,0,18,5514,0,28970,1591,0,0,0,0,0,6891,0,48,37500,4855000,927500,2237500,0,0,0,0,6131342,0,45000,14196342,6083700,334110,0,0,0,0,0,1535380,0,10080,7963270,390363,6586258,759623,1395687,0,0,0,0,0,4725579,0,0,0,0,0,0,13857510,0,0,0,0,0,3962079,501987,841813,0,0,0,0,2941143,0,55080,8302102,0,7143059,0,0,0,0,0,0,244726,1995838,0,0,0,0,0,0,0,0,0,0,0,0,0
106194010,AMERICAN RECOVERY CENTER,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0917,Non Profit Corp.,Comparable,,909-865-2336,2180 VALLEY BOULEVARD,POMONA,91768,SHIRLEY SUMMERS,173,173,173,0,0,0,0,511,0,0,0,0,0,511,0,0,0,0,0,7708,0,0,0,0,0,7708,0,0,0,0,0,1732,0,0,0,0,0,1732,0,0,0,0,2074688,0,0,0,0,0,2074688,0,0,0,0,90949,0,0,0,0,0,90949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165637,0,0,0,0,0,2165637,0,1142110,44821,0,0,0,0,0,0,2328744,0,0,0,0,0,0,0,0,0,0,0,0,0
106301188,ANAHEIM GLOBAL MEDICAL CENTER,20191,01/01/2019,03/31/2019,Open,Orange,13 - Orange,1012,Investor - Corp.,Comparable,,714-835-3555,1025 SOUTH ANAHEIM BOULEVARD.,ANAHEIM,92805,PETER BARONOFF,188,188,188,155,143,449,203,0,0,138,62,0,48,1198,0,1816,1186,4789,843,0,0,1468,261,0,131,10494,0,627,315,1375,2110,0,0,888,612,4,602,6533,9284665,10261829,13411884,8123149,0,0,6564410,2984182,0,1119223,51749342,3136746,1721891,2859090,7044326,0,0,2618507,3408111,16235,2688109,23493015,55461,9565642,9866285,16962654,10140731,-2129538,0,0,4802066,5210938,0,392166,0,0,0,892139,55758544,0,0,0,0,0,2855770,2117435,1437859,5026744,0,0,4380851,1181355,16234,2467565,19483813,112704,21404787,348941,0,0,0,0,0,493882,5151486,0,0,0,0,0,0,0,0,0,0,0,0,0
106190034,ANTELOPE VALLEY HOSPITAL,20191,01/01/2019,03/31/2019,Open,Los Angeles,11 - Los Angeles,0901,District,Comparable,,661-949-5000,1600 WEST AVENUE J,LANCASTER,93534,EDWARD MIRZABEGIAN,420,393,247,825,701,556,1444,0,0,1089,0,98,60,4773,0,4401,3315,2518,5559,0,0,4073,0,383,221,20470,0,4409,2792,4437,16376,0,0,6485,0,3176,601,38276,67099931,58201182,37624711,73223393,0,0,62909955,0,6525458,1853609,307438239,16519641,26637000,13278597,56240844,0,0,37053826,0,5875480,3212512,158817900,9573354,68889085,63808527,40848913,102652778,-7505108,0,0,77677011,0,0,1636203,0,0,0,1025266,358606029,0,0,0,0,0,14730488,21029655,17559503,26811459,0,0,22286769,0,1191380,4040856,107650110,3466771,108157603,0,2119753,0,0,0,0,4159271,188273281,0,0,0,0,0,0,0,0,0,0,0,0,0
106364231,ARROWHEAD REGIONAL MEDICAL CENTER,20191,01/01/2019,03/31/2019,Open,San Bernardino,12 - Inland Counties,1209,City/County,Comparable,Teaching,909-580-1000,400 N. PEPPER AVENUE,COLTON,92324,WILLIAM GILBERT,456,436,368,665,0,2060,2072,0,0,240,0,264,3,5304,0,4501,0,14676,9271,0,0,1235,0,1281,14,30978,0,13323,0,50301,11506,4,0,2013,0,6898,0,84045,69123459,0,92348720,80620605,0,0,21727077,0,6689668,73111,270582640,27785346,0,59007515,43040092,2957,0,6728096,0,20698119,0,157262125,0,69192828,0,96673642,122698491,-18504014,2957,0,18334686,0,0,24345209,0,0,0,0,312743799,0,0,0,0,0,27715977,0,73186607,907439,0,0,10120487,0,3170456,0,115100966,32166546,145147088,0,125715,0,0,0,0,662553,333533489,0,0,0,0,0,0,0,0,0,0,0,0,0
